weekly_earnings-main_job,Weekly-hours-main-job,Full_time
20000,20,False
6000,6,False
175000,45,True
8000,10,False
288461,30,False
51923,40,True
83653,40,True
103200,40,True
38000,30,False
18025,35,True
60000,40,True
100000,40,True
105769,45,True
36000,40,True
55000,40,True
70049,51,True
80769,40,True
288461,40,True
99519,55,True
97250,50,True
96100,40,True
60000,42,True
96153,48,True
134615,48,True
64000,32,False
27800,20,False
90000,7,False
32000,40,True
28800,32,False
76923,40,True
22000,20,False
24000,28,False
100000,40,True
23076,30,False
44000,40,True
23250,25,False
115384,45,True
51500,40,True
18000,20,False
23076,40,True
288461,40,True
92307,40,True
33000,20,False
19000,30,False
35520,32,False
71538,45,True
70000,40,True
64000,40,True
38000,40,True
67307,40,True
46800,36,True
105930,40,True
1600,40,True
288461,40,True
64000,40,True
167934,35,True
109600,40,True
65384,40,True
25200,21,False
144230,48,True
163461,50,True
230769,40,True
22800,30,False
64615,50,True
150000,40,True
62080,40,True
32030,40,True
125000,42,True
36000,38,True
96153,50,True
119230,40,True
59953,52,True
115384,40,True
33775,35,True
26000,15,False
66000,40,True
86538,40,True
226923,60,True
60000,40,True
57000,40,True
150000,40,True
152884,50,True
48000,40,True
105700,44,True
100000,50,True
40000,39,True
45000,40,True
257142,60,True
51648,15,False
96923,40,True
96153,50,True
194230,40,True
22000,25,False
60000,40,True
134615,35,True
54000,40,True
61538,60,True
57692,40,True
288461,40,True
221153,50,True
35000,60,True
96000,40,True
113450,40,True
288461,35,True
73846,40,True
25000,38,True
60000,40,True
23600,35,True
67307,40,True
82000,40,True
71153,40,True
224000,40,True
80000,44,True
32400,40,True
148076,40,True
115384,40,True
192307,42,True
101923,40,True
75000,40,True
288461,40,True
153846,55,True
20636,10,False
20000,40,True
76923,40,True
65100,52,True
7800,2,False
43200,40,True
226923,40,True
240384,45,True
73076,22,False
288461,35,True
91346,40,True
84615,50,True
16865,13,False
66000,35,True
115384,40,True
137800,40,True
42000,40,True
130000,40,True
92307,40,True
158695,45,True
58600,32,False
62000,40,True
40000,40,True
73076,45,True
57500,50,True
76923,38,True
125000,40,True
176923,40,True
32000,40,True
148076,40,True
35000,40,True
41538,30,False
173076,50,True
38000,30,False
110000,40,True
173076,47,True
44000,37,True
34615,40,True
44200,40,True
134615,40,True
288461,50,True
153846,60,True
85500,40,True
56000,30,False
117307,40,True
39550,35,True
163461,40,True
30000,40,True
85000,50,True
200000,40,True
71153,40,True
50000,40,True
77400,42,True
63461,40,True
84200,40,True
182600,40,True
66000,40,True
230769,40,True
45000,40,True
37500,40,True
69230,55,True
44760,40,True
38500,32,False
75000,35,True
30000,20,False
250000,40,True
134615,55,True
38000,40,True
5000,2,False
93750,50,True
55350,45,True
10000,15,False
37000,40,True
42400,40,True
34000,35,True
173076,40,True
160000,70,True
37400,40,True
55000,40,True
88461,40,True
110000,40,True
87040,41,True
60000,40,True
64800,40,True
80769,45,True
184615,35,True
76923,40,True
288461,40,True
42750,37,True
288461,50,True
125000,50,True
11250,15,False
76950,72,True
6300,8,False
288461,60,True
4000,4,False
60000,40,True
104000,40,True
57692,38,True
64000,40,True
68561,37,True
40000,40,True
50000,45,True
168000,50,True
34000,35,True
153846,43,True
107692,45,True
194230,50,True
63600,40,True
58460,40,True
25000,30,False
11025,15,False
30000,30,False
76923,40,True
21000,35,True
21750,30,False
96153,38,True
96000,24,False
173076,50,True
86000,32,False
73846,42,True
86000,40,True
40000,40,True
140384,55,True
